Terminate!
aid: 3, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 2, oid: 538, r: -11.0
aid: 0, oid: 1825, r: -1.0
aid: 2, oid: 1444, r: -1.0
aid: 1, oid: 1825, r: -1.0
aid: 2, oid: 1444, r: -1.0
aid: 0, oid: 170, r: -1.0
aid: 2, oid: 170, r: -11.0
aid: 2, oid: 170, r: -11.0
aid: 3, oid: 1444, r: -1.0
aid: 2, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 1, oid: 1444, r: -1.0
aid: 2, oid: 1809, r: -1.0
aid: 2, oid: 1301, r: -1.0
aid: 3, oid: 1301, r: -11.0
aid: 2, oid: 793, r: 9.0
aid: 3, oid: 538, r: 9.0
aid: 0, oid: 793, r: -1.0
aid: 2, oid: 793, r: -11.0
aid: 2, oid: 793, r: -11.0
aid: 0, oid: 793, r: -11.0
aid: 1, oid: 293, r: -1.0
aid: 3, oid: 293, r: -11.0
aid: 2, oid: 793, r: -1.0
aid: 1, oid: 293, r: -1.0
aid: 1, oid: 785, r: -1.0
aid: 1, oid: 420, r: -1.0
aid: 2, oid: 785, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 3, oid: 26, r: 9.0
aid: 0, oid: 42, r: -1.0
aid: 3, oid: 26, r: -1.0
aid: 3, oid: 284, r: -1.0
aid: 2, oid: 284, r: -11.0
aid: 3, oid: 284, r: -11.0
aid: 1, oid: 277, r: 9.0
aid: 2, oid: 2332, r: -1.0
aid: 3, oid: 2332, r: -11.0
aid: 3, oid: 2332, r: -11.0
aid: 3, oid: 284, r: -61.0
Terminate!
aid: 0, oid: 1301, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 0, oid: 1301, r: -11.0
aid: 1, oid: 1809, r: -1.0
aid: 2, oid: 1301, r: -1.0
aid: 0, oid: 5141, r: -11.0
aid: 3, oid: 5141, r: -11.0
aid: 3, oid: 1301, r: -61.0
Terminate!
aid: 0, oid: 325, r: -11.0
aid: 0, oid: 325, r: -11.0
aid: 1, oid: 293, r: -1.0
aid: 1, oid: 785, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 1, oid: 538, r: -11.0
aid: 2, oid: 538, r: -11.0
aid: 2, oid: 538, r: -11.0
aid: 0, oid: 17169, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 3, oid: 2578, r: 9.0
aid: 2, oid: 37, r: -1.0
aid: 2, oid: 21, r: -1.0
aid: 2, oid: 6680, r: -1.0
aid: 0, oid: 538, r: -1.0
aid: 2, oid: 2586, r: -11.0
aid: 2, oid: 8218, r: -61.0
Terminate!
aid: 2, oid: 1825, r: -1.0
aid: 0, oid: 1825, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 0, oid: 1301, r: -11.0
aid: 2, oid: 17185, r: -1.0
aid: 0, oid: 1825, r: -61.0
Terminate!
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 1, oid: 1809, r: -1.0
aid: 1, oid: 16788, r: -1.0
aid: 0, oid: 2202, r: -1.0
aid: 3, oid: 16788, r: -1.0
aid: 3, oid: 16788, r: -11.0
aid: 3, oid: 16788, r: -11.0
aid: 3, oid: 1428, r: -61.0
Terminate!
aid: 2, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 2, oid: 3364, r: -1.0
aid: 2, oid: 1297, r: -1.0
aid: 0, oid: 5137, r: -11.0
aid: 1, oid: 16676, r: -51.0
Terminate!
aid: 0, oid: 1349, r: -11.0
aid: 3, oid: 1349, r: -11.0
aid: 0, oid: 1349, r: -11.0
aid: 2, oid: 1825, r: -1.0
aid: 0, oid: 1825, r: -11.0
aid: 3, oid: 538, r: -1.0
aid: 1, oid: 2586, r: -11.0
aid: 3, oid: 2840, r: -1.0
aid: 0, oid: 8218, r: -1.0
aid: 3, oid: 4632, r: -1.0
aid: 0, oid: 538, r: -1.0
